Timestamp,Jenis Beasiswa ,Tingkat Pendidikan yang Dituju,Negara Tujuan Kuliah,Bidang Studi yang dipilih saat mendaftar,Mendaftar dengan menggunakan LoA sesuai ketentuan LPDP ,Apakah anda dinyatakan Lulus Seleksi Substansi Akademik Pada gelombang I Tahun 2021?,Jumlah Jawaban Benar pada Tes Penalaran Verbal,Jumlah Jawaban Benar pada Tes Kuantitatif,Jumlah Jawaban Benar pada Tes Pemecahan Masalah,[optional] Kampus/universitas tujuan saat ini (pilihan 1)
6/24/2021 16:13:38,Reguler,S2,Luar Negeri,DEV,Tidak,Ya,16,18,12,MIT
6/24/2021 16:13:41,Targeted,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,16,14,4,UI
6/24/2021 16:14:23,Reguler,S2,Luar Negeri,AER,Tidak,Ya,15,20,4,ICL
6/24/2021 16:14:23,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,17,15,8,UGM
6/24/2021 16:15:01,Reguler,S2,Luar Negeri,BUS,Tidak,Tidak,9,7,5,INSEAD
6/24/2021 16:15:13,Reguler,S2,Luar Negeri,ICT,Tidak,Ya,17,13,7,
6/24/2021 16:15:49,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,16,13,4,UI
6/24/2021 16:16:27,Targeted,S2,Luar Negeri,PUB,Tidak,Ya,13,14,4,
6/24/2021 16:16:29,Reguler,S2,Dalam negeri,TRP,"Ya, dengan Loa",Tidak,14,17,4,Universitas Gadjah Mada
6/24/2021 16:17:23,Targeted,S2,Luar Negeri,ATM,"Ya, dengan Loa",Ya,13,15,9,University of Helsinki
6/24/2021 16:17:25,Afirmasi,S2,Dalam negeri,BUS,Tidak,Ya,11,12,6,Universitas Indonesia
6/24/2021 16:17:46,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,14,18,5,Ugm
6/24/2021 16:18:04,Reguler,S2,Luar Negeri,ARC,Tidak,Ya,17,19,5,
6/24/2021 16:18:08,Afirmasi,S2,Luar Negeri,STA,Tidak,Ya,17,18,10,University of Twente
6/24/2021 16:18:12,Reguler,S2,Luar Negeri,BIO,"Ya, dengan Loa",Ya,15,16,7,Wageningen University and Research 
6/24/2021 16:18:26,Reguler,S2,Luar Negeri,BUS,Tidak,Ya,14,23,5,Johns Hopkins University
6/24/2021 16:18:44,Reguler,S2,Luar Negeri,POL,Tidak,Ya,12,17,8,KCL
6/24/2021 16:19:07,Reguler,S2,Luar Negeri,BUS,"Ya, dengan Loa",Ya,17,16,7,UCL
6/24/2021 16:19:08,Afirmasi,S2,Dalam negeri,Bus,Tidak,Tidak,7,7,2,UI
6/24/2021 16:19:32,Afirmasi,S2,Dalam negeri,IPA,"Ya, dengan Loa",Ya,14,13,5,ITB
6/24/2021 16:20:33,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,14,14,9,UGM
6/24/2021 16:21:32,Reguler,S2,Dalam negeri,M,"Ya, dengan Loa",Tidak,13,10,7,UNESA
6/24/2021 16:21:50,Reguler,S2,Dalam negeri,SOS,Tidak,Ya,18,10,8,Universitas Gadjah Mada
6/24/2021 16:22:08,Targeted,S2,Dalam negeri,SOS,Tidak,Ya,16,17,6,
6/24/2021 16:23:07,Reguler,S2,Luar Negeri,Afr,"Ya, dengan Loa",Ya,17,14,8,Wur
6/24/2021 16:23:19,Reguler,S2,Luar Negeri,ENE,"Ya, dengan Loa",Ya,18,15,6,University of Glasgow
6/24/2021 16:23:40,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,15,15,6,UGM
6/24/2021 16:24:29,Targeted,S2,Luar Negeri,SOC,Tidak,Ya,18,19,7,Harvard University
6/24/2021 16:24:38,Afirmasi,S2,Luar Negeri,PUB,Tidak,Ya,15,13,8,University of Melbourne
6/24/2021 16:24:49,Reguler,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,14,16,6,Universitas Indonesia
6/24/2021 16:25:11,Reguler,S3,Luar Negeri,MED,Tidak,Ya,15,21,7,UCL
6/24/2021 16:25:51,Reguler,S2,Luar Negeri,CIV,Tidak,Ya,16,15,5,NUS
6/24/2021 16:27:36,Targeted,S2,Luar Negeri,BUS,Tidak,Ya,14,17,7,University of Southern California
6/24/2021 16:28:16,Reguler,S2,Luar Negeri,LAW,Tidak,Tidak,13,11,6,UC Berkeley
6/24/2021 16:29:00,Reguler,S2,Luar Negeri,EDU,Tidak,Ya,14,18,6,University of Manchester 
6/24/2021 16:29:41,Afirmasi,S2,Dalam negeri,SOS,"Ya, dengan Loa",Ya,13,6,7,Universitas Gadjah Mada
6/24/2021 16:29:45,Reguler,S2,Dalam negeri,TRP,Tidak,Ya,16,15,9,UI
6/24/2021 16:30:29,Reguler,S3,Luar Negeri,PHA,Tidak,Ya,14,18,6,UCL
6/24/2021 16:30:45,Reguler,S2,Luar Negeri,PUB,Tidak,Ya,18,11,7,U of Alberta
6/24/2021 16:31:30,Reguler,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,19,20,7,Universitas Indonesia
6/24/2021 16:32:09,Afirmasi,S2,Luar Negeri,BUS,Tidak,Ya,11,14,3,Arizona State University
6/24/2021 16:32:10,Targeted,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,13,16,3,ITB
6/24/2021 16:32:16,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,13,13,5,UGM
6/24/2021 16:32:18,Reguler,S2,Luar Negeri,PUB,Tidak,Tidak,17,12,5,University of Michigan
6/24/2021 16:33:20,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,19,18,4,UGM
6/24/2021 16:33:51,Reguler,S2,Dalam negeri,SOS,"Ya, dengan Loa",Ya,12,13,10,Universitas Gadjah Mada
6/24/2021 16:34:05,Reguler,S2,Luar Negeri,ARC,"Ya, dengan Loa",Tidak,16,11,1,University of Melbourne
6/24/2021 16:35:18,Targeted,S2,Dalam negeri,TRP,Tidak,Ya,15,12,6,UI
6/24/2021 16:35:59,Reguler,S2,Dalam negeri,TRP,"Ya, dengan Loa",Ya,17,21,7,UI
6/24/2021 16:36:07,Reguler,S2,Dalam negeri,TRP,Tidak,Ya,19,8,2,U
6/24/2021 16:36:36,Reguler,S2,Luar Negeri,PSY,"Ya, dengan Loa",Ya,13,18,8,
6/24/2021 16:36:38,Reguler,S3,Luar Negeri,MET,Tidak,Tidak,14,10,4,Monash university australia
6/24/2021 16:38:02,Reguler,S2,Luar Negeri,ICT,Tidak,Ya,15,17,5,
6/24/2021 16:38:17,Reguler,S2,Dalam negeri,M,"Ya, dengan Loa",Tidak,13,10,7,UNESA
6/24/2021 16:39:12,Targeted,S3,Dalam negeri,-,"Ya, dengan Loa",Ya,10,12,8,Universitas Airlangga
6/24/2021 16:39:38,Afirmasi,S2,Luar Negeri,CIV,Tidak,Ya,14,12,3,Purdue University
6/24/2021 16:39:54,Afirmasi,S2,Dalam negeri,IPA,Tidak,Ya,9,19,8,ITB
6/24/2021 16:40:15,Afirmasi,S2,Dalam negeri,TRP,Tidak,Ya,10,12,5,UPI
6/24/2021 16:40:20,Afirmasi,S2,Dalam negeri,Bus,Tidak,Ya,15,10,5,Ugm
6/24/2021 16:40:23,Targeted,S2,Luar Negeri,BUS,"Ya, dengan Loa",Ya,14,20,6,University of Michigan 
6/24/2021 16:41:25,Targeted,S3,Dalam negeri,TRP,Tidak,Ya,14,13,6,UGM
6/24/2021 16:43:08,Reguler,S2,Luar Negeri,DEV,"Ya, dengan Loa",Ya,16,15,7,ISS
6/24/2021 16:43:25,Targeted,S3,Luar Negeri,ICT,"Ya, dengan Loa",Ya,12,15,4,University of Groningen
6/24/2021 16:44:22,Reguler,S3,Dalam negeri,FOR,Tidak,Ya,16,17,6,UGM
